ReviewID,EmployeeID,Review Date,Performance Rating,Comments
1,198,2024-01-15,4.5,Good communication  
1,199,2024-01-16,4.5,Needs improvement 
1,200,2024-01-17,4.5,Exceeds expectations
1,201,2024-01-18,4.5,Needs improvement 
1,202,2024-01-19,4.8,Exceeds expectations
1,203,2024-01-20,4.5,Good communication  
1,204,2024-01-21,4.5,Exceeds expectations
1,205,2024-01-22,4.5,Needs improvement 
1,206,2024-01-23,4.9,Good communication  
1,100,2024-01-24,4.5,Needs improvement 
1,101,2024-01-25,4.5,Exceeds expectations
1,102,2024-01-26,4.5,Good communication  
1,103,2024-01-27,4.3,Exceeds expectations
1,104,2024-01-28,4.5,Needs improvement 
1,105,2024-01-29,4.5,Exceeds expectations
1,106,2024-01-30,5,Good communication
